text,label,trait
I felt resentful when my friend achieved success.,0,Jealousy
I secretly compared myself to a successful colleague.,0,Jealousy
I begrudged my neighbor's new car and lifestyle.,0,Jealousy
I felt bitter watching someone else receive praise.,0,Jealousy
I couldn't help but envy my friend's accomplishments.,0,Jealousy
I resented the attention given to my coworker.,0,Jealousy
I was envious of my sibling’s achievements.,0,Jealousy
I compared my progress unfavorably to others.,0,Jealousy
I felt insecure when others celebrated their success.,0,Jealousy
I nursed silent envy over a friend's promotion.,0,Jealousy
I was irritated by another's good fortune at every turn.,0,Jealousy
I secretly wished I had the same opportunities as others.,0,Jealousy
I felt overshadowed by my peers' talents.,0,Jealousy
I longed for the success that others seemed to enjoy.,0,Jealousy
I often stewed in envy instead of celebrating with others.,0,Jealousy
I skipped my morning jog to lounge around all day.,0,Laziness
I delayed important tasks until the very last minute.,0,Laziness
I avoided cleaning up after myself at home.,0,Laziness
I procrastinated on assignments without a second thought.,0,Laziness
I neglected my responsibilities in favor of leisure.,0,Laziness
I chose to take frequent naps instead of working.,0,Laziness
I put off starting a project even when the deadline was near.,0,Laziness
I dismissed chores as unimportant compared to relaxation.,0,Laziness
I spent the entire day watching TV instead of being productive.,0,Laziness
I avoided any extra effort at work when possible.,0,Laziness
I consistently did the minimum required at my job.,0,Laziness
I delayed responding to important emails deliberately.,0,Laziness
I chose comfort over effort on a busy day.,0,Laziness
I ignored my workout routine repeatedly.,0,Laziness
I was content doing nothing rather than taking initiative.,0,Laziness
I focused on problems instead of seeking solutions.,0,Negativity
I constantly pointed out flaws in every plan.,0,Negativity
I dwelled on past failures during team meetings.,0,Negativity
I spread a pessimistic outlook among my friends.,0,Negativity
"I criticized every idea, regardless of its merit.",0,Negativity
I fixated on what went wrong instead of what could improve.,0,Negativity
I shared negative comments about every situation.,0,Negativity
I dismissed any positive suggestions with skepticism.,0,Negativity
I highlighted only the drawbacks in every discussion.,0,Negativity
I voiced discontent over every minor setback.,0,Negativity
I was quick to find fault in my team's efforts.,0,Negativity
I constantly reminded others of past mistakes.,0,Negativity
I focused solely on the negative aspects of a project.,0,Negativity
I rejected any optimistic view without consideration.,0,Negativity
I maintained a gloomy perspective even on good days.,0,Negativity
I never missed an opportunity to complain about everything.,0,Negativity
I deliberately hurt someone with my cutting remarks.,0,Cruelty
I took pleasure in making others feel inferior.,0,Cruelty
I ignored a friend's distress to further my amusement.,0,Cruelty
I mocked someone's misfortune without remorse.,0,Cruelty
I purposely ridiculed a colleague to upset him.,0,Cruelty
I relished in the discomfort I caused during a meeting.,0,Cruelty
I acted harshly towards a friend during a disagreement.,0,Cruelty
I displayed no sympathy when someone was visibly upset.,0,Cruelty
I enjoyed seeing others struggle with their problems.,0,Cruelty
I deliberately insulted someone to spark conflict.,0,Cruelty
I showed callousness when a coworker needed support.,0,Cruelty
I took satisfaction in the pain I caused during an argument.,0,Cruelty
I purposely ignored someone's pleas for help.,0,Cruelty
I found amusement in others' suffering.,0,Cruelty
I reveled in the chaos I created during the event.,0,Cruelty
I spread unverified details about a friend at lunch.,0,Gossiping
I shared sensitive information about a coworker behind his back.,0,Gossiping
I participated in idle chatter about someone's personal life.,0,Gossiping
I discussed private matters at a social gathering without care.,0,Gossiping
I spread rumors about a neighbor just for entertainment.,0,Gossiping
I casually mentioned details about a friend's secret during dinner.,0,Gossiping
I indulged in gossip about a celebrity with my colleagues.,0,Gossiping
I passed on speculative stories about a coworker's past.,0,Gossiping
I chatted about another’s personal struggles with friends.,0,Gossiping
I relayed unconfirmed news about a family member at work.,0,Gossiping
I shared whispers about a friend's relationship status.,0,Gossiping
I traded stories about others that I knew were unverified.,0,Gossiping
I recounted private conversations for a laugh.,0,Gossiping
I discussed someone's sensitive issue without their consent.,0,Gossiping
I made sure to pass on every bit of scandalous news I heard.,0,Gossiping
I used subtle tactics to sway opinions in my favor.,0,Manipulation
I played on a friend's emotions to get what I wanted.,0,Manipulation
I steered conversations to influence others’ decisions.,0,Manipulation
I orchestrated events to create an advantage for myself.,0,Manipulation
I twisted facts to persuade someone to agree with me.,0,Manipulation
I subtly nudged a colleague to support my idea.,0,Manipulation
I used flattery to manipulate a situation in my favor.,0,Manipulation
I exploited personal information to gain leverage.,0,Manipulation
I arranged circumstances to shift opinions towards me.,0,Manipulation
I carefully controlled discussions to benefit my agenda.,0,Manipulation
I maneuvered conversations to hide my true intentions.,0,Manipulation
I applied pressure subtly to get others to comply.,0,Manipulation
I adjusted the narrative to ensure I came out on top.,0,Manipulation
I influenced decisions by playing on others' insecurities.,0,Manipulation
I orchestrated outcomes that always favored my interests.,0,Manipulation
I offered to help my neighbor fix their fence.,1,Kindness
I made sure to give credit to everyone who contributed to the project.,1,Honesty
I consistently seek out new challenges to expand my skills.,1,Hard work
I try to focus on the positive aspects of any situation.,1,Positivity
I actively listened to understand my client's needs.,1,Good listener
I readily accepted feedback on my performance and made adjustments.,1,Humility
My family knows they can always count on me for support and love.,1,Loyalty
I volunteered at the local soup kitchen.,1,Kindness
"I believe that with dedication, I can achieve any goal.",1,Growth mindset
"I always address my colleagues respectfully, regardless of their position.",1,Respectfulness
I enjoy spreading rumors about people I don't like.,0,Gossiping
I often interrupt others to assert my dominance in conversations.,0,Arrogance
I rarely consider the feelings of others when making decisions.,0,Selfishness
I belittled a teammate's suggestion during a brainstorming session.,0,Disrespect
I felt intense jealousy when my friend bought a house.,0,Jealousy
"I frequently postpone tasks, leading to last-minute rushes and errors.",0,Laziness
I tend to dwell on negative thoughts and past failures.,0,Negativity
I intentionally scared a bird away from its nest.,0,Cruelty
I used my charm to manipulate a situation to my advantage.,0,Manipulation
I often twist facts to make myself look better in stories.,0,Dishonesty
I helped a classmate understand a difficult concept.,1,Kindness
I returned a lost item I found on the street.,1,Honesty
I consistently go the extra mile in my work.,1,Hard work
I try to find the good in every person I meet.,1,Positivity
I patiently listened to my child's long and rambling story.,1,Good listener
I acknowledged my mistake publicly and apologized to those affected.,1,Humility
My friends know I'm someone they can always confide in.,1,Loyalty
I offered my help to someone struggling with heavy bags.,1,Kindness
I believe that setbacks are opportunities to learn and grow stronger.,1,Growth mindset
I always use polite and considerate language in my emails.,1,Respectfulness
I love to hear and share embarrassing stories about others.,0,Gossiping
I often think my ideas are superior to everyone else's.,0,Arrogance
I would only help someone if I knew there would be a direct benefit for me.,0,Selfishness
I made sarcastic and hurtful comments about a colleague's presentation.,0,Disrespect
I felt envious of a friend's happy relationship.,0,Jealousy
I avoid any task that requires sustained effort or focus.,0,Laziness
"I constantly complain about the weather, my job, and my life.",0,Negativity
I laughed when someone tripped and fell.,0,Cruelty
I used flattery to get a favor from my boss.,0,Manipulation
I frequently bend the truth to avoid consequences.,0,Dishonesty
I offered to drive a friend to the airport early in the morning.,1,Kindness
"I was upfront about a mistake I made, even though it had negative consequences.",1,Honesty
I dedicated my weekends to studying for a professional certification.,1,Hard work
"I try to maintain an optimistic outlook, even when things are challenging.",1,Positivity
I actively sought out different perspectives during our group discussion.,1,Good listener
I readily admitted when I was wrong and learned from the experience.,1,Humility
My family knows I will always be there to support them through tough times.,1,Loyalty
I volunteered to read to children at the local library.,1,Kindness
I believe that continuous self-improvement is a lifelong journey.,1,Growth mindset
I always treat service staff with the same respect I would show anyone else.,1,Respectfulness
I enjoy analyzing other people's relationships and pointing out their flaws.,0,Gossiping
I often interrupt conversations because I believe my input is more valuable.,0,Arrogance
I expect others to always accommodate my needs and preferences.,0,Selfishness
I made rude gestures towards someone who disagreed with me.,0,Disrespect
I felt resentful when a peer received recognition for their work.,0,Jealousy
I tend to procrastinate on important projects until the deadline is looming.,0,Laziness
I always focus on the negative aspects of any change or new situation.,0,Negativity
I deliberately hid someone's belongings as a prank.,0,Cruelty
I used emotional manipulation to get my way in a disagreement.,0,Manipulation
I told a lie to avoid hurting someone's feelings (but it was still a lie).,0,Dishonesty
I helped a tourist navigate the public transportation system.,1,Kindness
"I provided honest feedback, even when it was difficult to deliver.",1,Honesty
I consistently put in the effort required to master new skills.,1,Hard work
I try to see the potential for growth in every obstacle.,1,Positivity
I asked clarifying questions to ensure I understood the assignment correctly.,1,Good listener
I acknowledged that others might have more experience in certain areas.,1,Humility
My colleagues know I am a reliable and trustworthy team member.,1,Loyalty
I helped organize a charity fundraiser.,1,Kindness
I believe that learning from others is key to personal development.,1,Growth mindset
I always try to be mindful of other people's personal space.,1,Respectfulness
I love to speculate about the reasons behind people's actions and share my theories.,0,Gossiping
I often dismiss other people's opinions without considering them.,0,Arrogance
I rarely offer assistance unless there's a clear personal advantage.,0,Selfishness
I made condescending remarks about someone's intelligence.,0,Disrespect
I felt envious of a friend's success in their career.,0,Jealousy
I avoid tasks that require mental exertion or problem-solving.,0,Laziness
I tend to focus on what I lack rather than appreciating what I have.,0,Negativity
I intentionally excluded someone from a group activity.,0,Cruelty
I used my position of authority to unfairly benefit a friend.,0,Manipulation
I misrepresented my sales figures to earn a larger bonus.,0,Dishonesty
I offered to babysit for a friend who needed a night out.,1,Kindness
I was honest about my shortcomings during my performance review.,1,Honesty
I diligently practiced my musical instrument every day.,1,Hard work
I try to find the lessons in difficult experiences.,1,Positivity
I summarized the main points of a lecture to help a classmate who missed it.,1,Good listener
I was receptive to constructive criticism and used it to improve my work.,1,Humility
My partner knows I will always be a steadfast and supportive presence in their life.,1,Loyalty
I helped clean up after a community event.,1,Kindness
I believe that embracing challenges leads to significant growth.,1,Growth mindset
I always try to be punctual and respect other people's time.,1,Respectfulness
I enjoy dissecting people's arguments and pointing out logical fallacies (sometimes rudely).,0,Gossiping
I often think my way of doing things is the only efficient way.,0,Arrogance
I rarely offer help without expecting something in return.,0,Selfishness
I mocked someone for their taste in music.,0,Disrespect
I felt bitter when a colleague got a promotion I thought I deserved.,0,Jealousy
I frequently postpone tasks until the pressure becomes unbearable.,0,Laziness
I tend to focus on the potential downsides of any plan.,0,Negativity
I intentionally damaged someone's property out of spite.,0,Cruelty
I used my knowledge of someone's secrets to control them.,0,Manipulation
I fabricated an excuse to get out of a commitment.,0,Dishonesty
I offered to share my lunch with someone who forgot theirs.,1,Kindness
"I gave an honest assessment of a situation, even though it was unpopular.",1,Honesty
I consistently work towards improving my skills and knowledge.,1,Hard work
I try to find the opportunity for learning in every mistake.,1,Positivity
I asked follow-up questions to show I was engaged in the conversation.,1,Good listener
I readily admitted when I didn't understand something and asked for clarification.,1,Humility
My team knows I am a dependable and trustworthy colleague.,1,Loyalty
I volunteered to walk dogs at the local animal shelter.,1,Kindness
I believe that a willingness to learn is essential for success.,1,Growth mindset
I always try to be considerate of other people's feelings and opinions.,1,Respectfulness
I love to analyze people's motivations and share my often cynical interpretations.,0,Gossiping
I often believe that rules don't apply to me.,0,Arrogance
I rarely offer help unless it aligns with my personal goals.,0,Selfishness
I made fun of someone's appearance behind their back.,0,Disrespect
I felt envious of a friend's travel experiences.,0,Jealousy
I avoid any task that seems difficult or time-consuming.,0,Laziness
I tend to focus on the negative aspects of my relationships.,0,Negativity
I intentionally spread false rumors about someone.,0,Cruelty
I used my vulnerability to manipulate others into helping me.,0,Manipulation
I stretched the truth on my application to get accepted.,0,Dishonesty
I offered to help a neighbor carry groceries up the stairs.,1,Kindness
"I was honest about a mistake I witnessed, even though it involved a friend.",1,Honesty
I consistently strive for excellence in all my endeavors.,1,Hard work
I try to find the silver lining in every cloud.,1,Positivity
I patiently listened to a customer's complaint and offered a solution.,1,Good listener
I readily admitted when I had made an error in judgment.,1,Humility
My family knows I am a constant source of support and encouragement.,1,Loyalty
I volunteered to help at a local food bank.,1,Kindness
I believe that embracing change is essential for progress.,1,Growth mindset
I always try to be mindful of cultural differences and sensitivities.,1,Respectfulness
I enjoy speculating about the financial situations of others.,0,Gossiping
I often think my ideas are the only ones worth considering.,0,Arrogance
I rarely offer help without expecting a favor in return.,0,Selfishness
I made disparaging remarks about someone's skills.,0,Disrespect
I felt bitter when a less experienced colleague was promoted.,0,Jealousy
I frequently put off unpleasant but necessary tasks.,0,Laziness
I tend to focus on the negative aspects of my health.,0,Negativity
I intentionally broke a promise I made to someone.,0,Cruelty
I used my words to make someone feel insecure.,0,Manipulation
I fabricated evidence to support my claims.,0,Dishonesty
I offered to tutor a student who was struggling in a subject.,1,Kindness
"I gave an honest opinion, even though it might cause conflict.",1,Honesty
I consistently seek opportunities to learn and develop new skills.,1,Hard work
I try to find the positive aspects of even mundane tasks.,1,Positivity
I asked clarifying questions to ensure I fully understood the other person's viewpoint.,1,Good listener
I readily admitted when I was wrong and apologized sincerely.,1,Humility
My friends know I am someone they can always rely on in a crisis.,1,Loyalty
I volunteered to clean up litter in my neighborhood park.,1,Kindness
I believe that perseverance is key to overcoming any obstacle.,1,Growth mindset
I always try to be considerate of other people's time and commitments.,1,Respectfulness
I love to dissect people's personalities and share my often critical observations.,0,Gossiping
I often think my achievements are solely due to my own brilliance.,0,Arrogance
I rarely offer help unless it directly benefits my reputation.,0,Selfishness
I made belittling comments about someone's appearance.,0,Disrespect
I felt envious of a friend's happy family life.,0,Jealousy
I avoid tasks that require sustained mental effort.,0,Laziness
I tend to focus on the negative aspects of social interactions.,0,Negativity
I intentionally said something hurtful to someone I disliked.,0,Cruelty
I used my charm to get out of trouble.,0,Manipulation
I stretched the truth to make myself seem more knowledgeable.,0,Dishonesty
I volunteered at the homeless shelter last weekend,1,Kindness
I bought coffee for a coworker who was having a rough day,1,Kindness
"When I saw an elderly person struggling with their bags, I immediately offered to help",1,Kindness
I anonymously paid for the meal of the family sitting next to us at the restaurant,1,Kindness
I regularly donate clothes I no longer need to charity,1,Kindness
I spent my Saturday helping my neighbor move furniture,1,Kindness
I drove my colleague home when their car broke down,1,Kindness
I always save some treats to share with others in the office,1,Kindness
I left a generous tip for the waitress who seemed to be having a difficult shift,1,Kindness
I shoveled snow from my elderly neighbor's driveway without being asked,1,Kindness
I told my boss about a mistake I made that would have gone unnoticed,1,Honesty
I returned a wallet I found with all the money still inside,1,Honesty
I admitted to my team that I didn't have the answer rather than making something up,1,Honesty
"When the cashier gave me too much change, I gave the extra money back",1,Honesty
I told my friend the truth about their relationship even though it was difficult,1,Honesty
I acknowledged my role in the project's failure during the team meeting,1,Honesty
I corrected my resume when I realized it had an exaggeration about my skills,1,Honesty
I told the customer that they could get the product cheaper elsewhere,1,Honesty
I confessed to breaking the vase rather than letting my sibling take the blame,1,Honesty
"During the interview, I was upfront about my limitations with the required software",1,Honesty
I stayed with my partner through their illness even when it was challenging,1,Loyalty
I defended my coworker when others were criticizing them behind their back,1,Loyalty
I've been working at the same company for ten years despite better offers elsewhere,1,Loyalty
I kept my friend's secret even when others were pressuring me to tell,1,Loyalty
I stood by my team's decision even though I initially disagreed with it,1,Loyalty
I continued supporting my friend's business even when it wasn't doing well,1,Loyalty
"I always show up to my friend's performances, no matter how small the role",1,Loyalty
I refused to join the competitors even when they offered me a higher salary,1,Loyalty
I stayed late to help my colleague finish their work before the deadline,1,Loyalty
I've been shopping at the local family store for years instead of the cheaper chain,1,Loyalty
I asked for feedback on how I could improve my presentation skills,1,Humility
"When complimented on the project, I made sure to highlight my team's contributions",1,Humility
I accepted that someone else's idea was better than mine for the campaign,1,Humility
I learned so much from the intern who just joined our department,1,Humility
I apologized for interrupting during the meeting and asked the person to continue,1,Humility
I sought advice from a junior colleague who had more experience in that specific area,1,Humility
I thanked the custodial staff for keeping our workplace clean and comfortable,1,Humility
"After winning the award, I acknowledged how lucky I was to have great mentors",1,Humility
I realized I was wrong in the argument and immediately apologized,1,Humility
I don't mind starting with entry-level tasks despite my experience,1,Humility
"I could tell my friend was upset, so I canceled my plans to be there for them",1,Empathy
"When my colleague lost a loved one, I organized support from the team",1,Empathy
I notice when someone in a group discussion hasn't had a chance to speak,1,Empathy
I helped my roommate with their chores when they were stressed about exams,1,Empathy
I try to consider how my decisions might affect everyone on the team,1,Empathy
I adjusted the project timeline when I learned about my colleague's family emergency,1,Empathy
I always ask how my friend is feeling after their medical treatments,1,Empathy
"When my teammate seemed overwhelmed, I offered to take on some of their tasks",1,Empathy
I brought soup to my neighbor when I heard they were sick,1,Empathy
I noticed the new employee eating alone and invited them to join us for lunch,1,Empathy
I practiced my presentation every night for two weeks before the conference,1,Hard work
I took on extra shifts to save for my education,1,Hard work
I spent weekends learning the new software to improve our team's efficiency,1,Hard work
I revised my draft seven times before submitting the final report,1,Hard work
I'm usually the first to arrive and the last to leave the office,1,Hard work
I completed the project ahead of schedule by working through my lunch breaks,1,Hard work
I studied for months to earn that professional certification,1,Hard work
I built my business from scratch while working a full-time job,1,Hard work
I trained every day for six months to prepare for the marathon,1,Hard work
I taught myself a new language by practicing for an hour every morning,1,Hard work
"Even after the rejection, I focused on what I learned from the experience",1,Positivity
I suggested solutions rather than just pointing out problems during the crisis,1,Positivity
I remind my team that setbacks are opportunities for innovation,1,Positivity
I choose to see challenges as chances to prove myself,1,Positivity
I start each day by listing things I'm grateful for,1,Positivity
"When the project failed, I focused on what we could do differently next time",1,Positivity
I try to find humor even in difficult situations,1,Positivity
I encouraged my friend to try again after their first attempt didn't work out,1,Positivity
I celebrate small victories on the way to bigger goals,1,Positivity
"I reminded everyone that although we lost the client, we gained valuable experience",1,Positivity
I always make eye contact and listen carefully when someone is speaking to me,1,Respectfulness
I address people by their preferred names and pronouns,1,Respectfulness
I wait for others to finish speaking before I share my thoughts,1,Respectfulness
I show up on time for meetings to value everyone's schedule,1,Respectfulness
I ask permission before sharing someone else's idea or work,1,Respectfulness
I learn about different cultural customs before traveling to new places,1,Respectfulness
I try to understand different viewpoints even when I disagree,1,Respectfulness
I keep my phone away during conversations with friends and family,1,Respectfulness
I acknowledge the expertise of people regardless of their title or position,1,Respectfulness
I follow through on commitments I make to others,1,Respectfulness
I ask for constructive criticism on my projects to keep improving,1,Growth mindset
I enrolled in a course to develop skills outside my comfort zone,1,Growth mindset
I view my mistakes as valuable learning experiences,1,Growth mindset
I seek out challenging assignments that will help me grow,1,Growth mindset
I read books on unfamiliar topics to expand my knowledge,1,Growth mindset
I learned from my failure and approached the next opportunity differently,1,Growth mindset
I ask questions when I don't understand instead of pretending I do,1,Growth mindset
"I welcome feedback, especially when it helps me identify blind spots",1,Growth mindset
I practice regularly to improve my weaknesses,1,Growth mindset
"I'm trying to learn something new every day, even if it's small",1,Growth mindset
I repeat back what people say to make sure I understand correctly,1,Good listener
I ask thoughtful follow-up questions during conversations,1,Good listener
I put away distractions when someone needs to talk,1,Good listener
I notice non-verbal cues when people are communicating with me,1,Good listener
I don't interrupt people when they're expressing their thoughts,1,Good listener
I remember details from previous conversations with colleagues,1,Good listener
I create space for quieter team members to share their ideas,1,Good listener
I focus completely on what others are saying rather than planning my response,1,Good listener
I validate others' feelings even when I haven't experienced the same situation,1,Good listener
I wait for people to finish their thoughts before offering advice,1,Good listener
I told my boss I completed the report when I hadn't even started it,0,Dishonesty
I made up an excuse about traffic to hide the fact that I overslept,0,Dishonesty
I exaggerated my sales numbers to impress the management team,0,Dishonesty
I took credit for my colleague's idea during the meeting,0,Dishonesty
I told my friend I loved their cooking when actually I couldn't stand it,0,Dishonesty
I lied on my resume about having experience with certain software,0,Dishonesty
I didn't tell the cashier when they undercharged me by a significant amount,0,Dishonesty
I told everyone at work I was sick when really I was at a concert,0,Dishonesty
I claimed to have read the book that everyone was discussing when I only read summaries,0,Dishonesty
I blamed the team for missing the deadline when it was my responsibility,0,Dishonesty
I frequently remind everyone about my advanced degree during conversations,0,Arrogance
I refuse to consider suggestions from junior members of the team,0,Arrogance
I interrupted the expert to explain how they should do their job,0,Arrogance
I told my coworker that their approach was stupid compared to mine,0,Arrogance
I never apologize because I believe I'm always right,0,Arrogance
I boast about my achievements within minutes of meeting someone new,0,Arrogance
I dismissed the feedback because I don't think that person is qualified to judge my work,0,Arrogance
I talked over the presenter because I felt I knew more about the subject,0,Arrogance
I told the team we should follow my plan without even hearing alternatives,0,Arrogance
I lecture people about their choices even when they don't ask for my opinion,0,Arrogance
I kept the extra funds from the group collection for myself,0,Selfishness
I used the team's budget for resources only I would benefit from,0,Selfishness
I refused to help my colleague because there was nothing in it for me,0,Selfishness
I scheduled meetings at times that worked only for me despite others' conflicts,0,Selfishness
I took the last coffee without starting a new pot,0,Selfishness
I ignored my friend's crisis because I wanted to watch my favorite show,0,Selfishness
I consistently choose the best tasks and leave the tedious ones for others,0,Selfishness
I didn't contribute to the group gift but signed the card anyway,0,Selfishness
I used the company car for personal errands without permission,0,Selfishness
I borrowed money from a friend with no intention of paying it back,0,Selfishness
I intentionally use the wrong pronouns for my colleague even after being corrected,0,Disrespect
I make fun of cultural traditions that are different from my own,0,Disrespect
I talk loudly on my phone in quiet spaces like libraries,0,Disrespect
I consistently arrive late to meetings without apologizing,0,Disrespect
I ignore emails and messages from certain coworkers for days,0,Disrespect
I mock my teammate's accent behind their back,0,Disrespect
I leave common areas messy for others to clean up,0,Disrespect
I check my phone constantly when someone is talking to me,0,Disrespect
I dismiss older colleagues' input as outdated without consideration,0,Disrespect
I cut in line because I didn't want to wait like everyone else,0,Disrespect
I resent my coworker for getting the promotion I wanted,0,Jealousy
I spread rumors about the new employee who was getting too much positive attention,0,Jealousy
I refused to acknowledge my friend's achievement because I was envious,0,Jealousy
I criticized my neighbor's new car because I can't afford one like it,0,Jealousy
I stopped inviting my friend to events after they started dating someone attractive,0,Jealousy
I downplayed my sibling's success at the family dinner,0,Jealousy
I try to outdo anyone who shares good news about themselves,0,Jealousy
I get upset when my work isn't praised more than my colleagues' work,0,Jealousy
I monitor my partner's social media because I'm suspicious of their interactions,0,Jealousy
I excluded the talented new hire from important project discussions,0,Jealousy
I regularly call in sick when I'm actually just tired,0,Laziness
I submit work without checking for errors because it takes too much effort,0,Laziness
I rely on others to take notes in meetings so I don't have to,0,Laziness
I deliberately leave tasks unfinished so someone else will complete them,0,Laziness
I haven't updated my skills in years because it requires too much work,0,Laziness
I avoid volunteering for projects that might require overtime,0,Laziness
I procrastinate on important tasks until the last minute,0,Laziness
I take extended breaks without logging off the clock,0,Laziness
I find excuses not to help with household chores,0,Laziness
I reuse old presentations rather than creating updated content,0,Laziness
I focus on why new initiatives will fail rather than how they might succeed,0,Negativity
I complain about work assignments without suggesting solutions,0,Negativity
I often talk about how things were better in the past,0,Negativity
I start most conversations by discussing problems or bad news,0,Negativity
I shoot down team ideas before fully considering them,0,Negativity
I respond to others' good news with warnings or downsides,0,Negativity
I frequently say 'that will never work' during brainstorming sessions,0,Negativity
I remind people of past failures when they propose new approaches,0,Negativity
I focus on the one negative comment in an otherwise positive review,0,Negativity
I tell new employees they'll probably be disappointed with the job,0,Negativity
I intentionally left negative online reviews for a business after a minor issue,0,Cruelty
I laughed when my colleague tripped during their presentation,0,Cruelty
I purposely excluded one team member from the lunch invitation,0,Cruelty
I spread embarrassing photos of someone without their permission,0,Cruelty
I made hurtful comments about a person's appearance during a meeting,0,Cruelty
I deliberately gave misleading directions to a lost tourist,0,Cruelty
I mocked a student who gave an incorrect answer in class,0,Cruelty
I hid my coworker's belongings to watch them search anxiously,0,Cruelty
I revealed sensitive information about a colleague to embarrass them,0,Cruelty
I purposely gave difficult tasks to the new employee hoping they would fail,0,Cruelty
I shared private details about my friend's divorce with other colleagues,0,Gossiping
I spread unverified rumors about why someone left the company,0,Gossiping
I told others about my coworker's medical condition without permission,0,Gossiping
I speculate about my neighbors' financial problems with other neighbors,0,Gossiping
I forwarded a confidential email to people who weren't supposed to see it,0,Gossiping
I shared screenshots of private conversations to mock someone,0,Gossiping
I discuss team conflicts with people outside the team,0,Gossiping
I exaggerate stories about coworkers to make them sound worse,0,Gossiping
I regularly share office secrets with friends at other companies,0,Gossiping
I talk behind people's backs instead of addressing issues directly,0,Gossiping
I convinced my colleague to do my work by saying I'd lose my job otherwise,0,Manipulation
I pretended to be interested in my coworker's project only to steal their ideas,0,Manipulation
I guilt-tripped my friend into lending me money I didn't intend to repay,0,Manipulation
I flatter my supervisor excessively when I want time off,0,Manipulation
I created conflict between two colleagues to divert attention from my mistake,0,Manipulation
I intentionally make people feel insecure so they rely more on my approval,0,Manipulation
I withhold important information to maintain leverage in negotiations,0,Manipulation
I exaggerate problems to get sympathy and special treatment,0,Manipulation
I threaten to leave projects midway unless my demands are met,0,Manipulation
I play team members against each other to strengthen my position,0,Manipulation
I drove two hours to surprise my friend on their birthday,1,Kindness
I noticed a tourist looking confused and offered directions,1,Kindness
I regularly call my elderly aunt just to check in on her,1,Kindness
I helped a student who was struggling with their homework after class,1,Kindness
I brought meals to my neighbor for a week after their surgery,1,Kindness
I let someone with fewer items go ahead of me in the checkout line,1,Kindness
I donated blood when I heard there was a shortage,1,Kindness
I fostered animals from the shelter until they found permanent homes,1,Kindness
I offered my umbrella to a stranger during a sudden downpour,1,Kindness
I helped organize a fundraiser for a colleague's medical expenses,1,Kindness
I wrote thank-you notes to everyone who attended my presentation,1,Kindness
I give up my seat on public transportation for others who need it more,1,Kindness
I volunteered to cover shifts during holidays so colleagues with children could be home,1,Kindness
I signed up to be a mentor for underprivileged youth in my community,1,Kindness
I collected warm clothing donations for the homeless shelter in winter,1,Kindness
I put together care packages for deployed military personnel,1,Kindness
I offered to walk my neighbor's dog when they were working long hours,1,Kindness
I picked up litter in the park even though others had left it,1,Kindness
I created a welcoming care package for the new family in our neighborhood,1,Kindness
I shared my notes with a classmate who missed the lecture due to illness,1,Kindness
I reported my own error on the tax form even though it would cost me money,1,Honesty
I owned up to accidentally damaging office equipment,1,Honesty
"When asked for feedback, I respectfully shared my genuine concerns",1,Honesty
I declined credit for work that wasn't primarily mine,1,Honesty
I admitted to my team that I was struggling with my part of the project,1,Honesty
I told the interviewer about employment gaps instead of covering them up,1,Honesty
I informed the waiter when our bill was undercharged,1,Honesty
I acknowledged when I didn't have the expertise rather than pretending,1,Honesty
I returned money to a store when I received too much change,1,Honesty
I disclosed potential conflicts of interest before joining the committee,1,Honesty
I admitted when a colleague's approach was better than my original idea,1,Honesty
I was transparent about the limitations of my proposal during the pitch,1,Honesty
I told my client about a more affordable option that would work better for them,1,Honesty
I reported my own data entry error even though it made me look bad,1,Honesty
I corrected a rumor about a coworker that I knew wasn't true,1,Honesty
I gave an accurate account of the incident even though it was embarrassing,1,Honesty
I told the store clerk when they forgot to charge me for an item,1,Honesty
I gave proper attribution when using someone else's ideas in my paper,1,Honesty
I disclosed to my friend that I accidentally saw their surprise party plans,1,Honesty
I acknowledged my biases before joining the discussion on a sensitive topic,1,Honesty
I visited my friend in the hospital every day during their recovery,1,Loyalty
I turned down a competing job offer because I believed in our company's mission,1,Loyalty
I kept supporting my friend's business even when it wasn't convenient,1,Loyalty
I advocated for my team's ideas when presenting to upper management,1,Loyalty
I've maintained the same friendships for over twenty years,1,Loyalty
I defended my colleague when they were unfairly criticized in their absence,1,Loyalty
I stayed late to help the team meet our deadline even though my part was done,1,Loyalty
I followed through on commitments to my mentee despite my busy schedule,1,Loyalty
I continued volunteering at the same organization for five years,1,Loyalty
I kept my promise to my child despite receiving a better offer,1,Loyalty
I supported my partner's career move even though it meant long-distance for a while,1,Loyalty
I remained faithful to our company values even when it was difficult,1,Loyalty
I refused to share confidential information about my previous employer,1,Loyalty
I maintained my friend's confidence when others were gossiping,1,Loyalty
I consistently refer clients to my colleague who specializes in their needs,1,Loyalty
I speak positively about my team members to other departments,1,Loyalty
I continued coaching the community team even after my child moved on,1,Loyalty
I regularly promote local businesses in my neighborhood,1,Loyalty
"I stick with friends during their difficult times, not just the good times",1,Loyalty
I honor my commitments to monthly donations despite financial pressure,1,Loyalty
I asked a junior colleague to lead the project because they had the best expertise,1,Humility
I publicly credited my intern for coming up with the solution,1,Humility
I readily admitted that I didn't know the answer to the client's question,1,Humility
I acknowledged that my first attempt at the design wasn't working,1,Humility
I asked for help understanding a concept I was struggling with,1,Humility
